scene,source_id,target_id,method,initial_rmse_m,rre_deg,rte_m,rmse_m,mean_nn_distance_m,mean_euclidean_distance_m,mean_abs_point_to_plane_error_m,iterations,runtime_s
7-scenes-redkitchen,1,0,point_to_plane,0.25553615126540624,0.3722766470147341,0.011897610387068217,0.009582104076282799,0.05545996508725741,0.05545996508725741,0.011777993860520171,50,0.36508580000372604
7-scenes-redkitchen,1,0,point_to_point,0.25553615126540624,2.3706247211396403,0.08611851900874394,0.08487415544877933,0.06462322252846436,0.06462531906849472,nan,34,0.21680920000653714
7-scenes-redkitchen,2,0,point_to_plane,0.2227556700798811,2.930260495699248,0.06607793629426668,0.0541295796219674,0.12959675209757684,0.12959675209757684,0.026172581271712153,10,0.1058754000114277
7-scenes-redkitchen,2,0,point_to_point,0.2227556700798811,11.667814345339277,0.2481578913517742,0.24851595208854693,0.1305195296545993,0.1305178076581022,nan,21,0.15911159999086522
7-scenes-redkitchen,3,0,point_to_plane,0.2750681842096849,2.574450502294605,0.05087574332289526,0.05177554049618407,0.12569981239094066,0.12569981239094066,0.023542574838199957,18,0.17269730000407435
7-scenes-redkitchen,3,0,point_to_point,0.2750681842096849,7.709775763291579,0.13102987921766984,0.194222351269267,0.1276809534241856,0.1276681416075575,nan,37,0.25738450000062585
7-scenes-redkitchen,4,0,point_to_plane,0.3544311147087183,2.634949633965692,0.06711279267640634,0.05545718531785194,0.11811368183368785,0.11811368183368785,0.021628091986840375,17,0.15607929998077452
7-scenes-redkitchen,4,0,point_to_point,0.3544311147087183,7.346359516542402,0.15773363595391554,0.19285737569020459,0.12244967684255305,0.12244061400181334,nan,43,0.2849006000033114
7-scenes-redkitchen,5,0,point_to_plane,0.102926260017324,2.1208644753772252,0.07503688021271757,0.05715629105831808,0.19935858913983848,0.19935858913983848,0.020900796635454317,11,0.11850590002723038
7-scenes-redkitchen,5,0,point_to_point,0.102926260017324,15.728412682605587,0.19273342506278573,0.5761767110999424,0.16185613251649236,0.16184853332308466,nan,50,0.3731314000033308
7-scenes-redkitchen,6,0,point_to_plane,0.22625682902261862,2.085710196666888,0.11216123097050733,0.06257983586993052,0.29336732634720875,0.29336732634720875,0.02058650110079887,13,0.1192354999948293
7-scenes-redkitchen,6,0,point_to_point,0.22625682902261862,8.892095183826498,0.5989092446426661,0.8893987735345867,0.13068902788043033,0.13067990978453908,nan,41,0.26158329998725094
7-scenes-redkitchen,10,0,point_to_plane,0.14543760153263338,2.273553742633302,0.06179860410236312,0.03845076045456275,0.13686566244825007,0.13686566244825007,0.024979507205788825,17,0.1533853999862913
7-scenes-redkitchen,10,0,point_to_point,0.14543760153263338,7.966895976729196,0.13520064846684582,0.3011945310426391,0.13744775596725015,0.13742298434316605,nan,50,0.3419237000052817
7-scenes-redkitchen,11,0,point_to_plane,0.22097507851236894,2.1754955105638216,0.06113179509432787,0.03277460178313676,0.07944604273536579,0.07944604273536579,0.018244784717304726,11,0.10634829997434281
7-scenes-redkitchen,11,0,point_to_point,0.22097507851236894,5.8207191330785,0.13533093171666047,0.14714399453976607,0.0867659153189211,0.08674558023503012,nan,24,0.14334660000167787
7-scenes-redkitchen,12,0,point_to_plane,0.3829450444068959,2.9454858207725327,0.061607556080505506,0.05084458351871838,0.058750724181717916,0.058750724181717916,0.018855309493582766,16,0.1452677999914158
7-scenes-redkitchen,12,0,point_to_point,0.3829450444068959,5.0500436025940365,0.09912283346444098,0.08392435228329825,0.06175155164701131,0.06174135869124748,nan,47,0.2680513999948744
7-scenes-redkitchen,13,0,point_to_plane,0.10591574308175261,3.336892017546507,0.05722529895024531,0.04712936097359151,0.063360558588374,0.063360558588374,0.019961370653463543,10,0.07939550001174212
7-scenes-redkitchen,13,0,point_to_point,0.10591574308175261,6.922817668478238,0.11941584900811575,0.07941870556172553,0.06702439590777994,0.06701674233859721,nan,32,0.16101909999269992
